quarter,usertype_std,mean_duration_sec,mean_duration_min
2018_Q4,Customer,622.2362106275547,10.370603510459244
2018_Q4,Subscriber,480.16065453169665,8.002677575528278
2019_Q1,Customer,617.0473140765913,10.284121901276523
2019_Q1,Subscriber,469.36528299506614,7.822754716584436
2019_Q2,Customer,655.4471501163218,10.924119168605364
2019_Q2,Subscriber,507.2209058049125,8.453681763415208
2019_Q3,Customer,648.8312720655141,10.813854534425236
2019_Q3,Subscriber,519.2108075512152,8.65351345918692
2019_Q4,Customer,612.5843734643735,10.209739557739558
2019_Q4,Subscriber,480.97570664849064,8.016261777474844
2020_Q1,casual,5772.004619846695,96.20007699744492
2020_Q1,member,760.6267510907568,12.67711251817928
